"PARTIDO","SIGLA","NR_PARTIDO","CNPJ","ESFERA","UF","MUNICIPIO","NR_BANCO","NR_AGENCIA","DV_AGENCIA","NR_CONTA","DV_CONTA","FONTE_RECURSO"
"DEMOCRATAS","DEM",25,"09019713000171","Estadual","MG","NA","001","1229","7","252500","3","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"16739948000101","Estadual","MG","NA","001","1229","7","50382","7","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"16739948000101","Estadual","MG","NA","001","1229","7","40213","3","Fundo Partidário"
"PARTIDO NOVO","NOVO",30,"26561313000102","Estadual","MG","NA","001","3368","5","53403","X","Outros Recursos"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"22441349000100","Estadual","MG","NA","001","1614","4","11795","1","Outros Recursos"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"22441349000100","Estadual","MG","NA","001","1614","4","9162","6","Outros Recursos"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"22441349000100","Estadual","MG","NA","104","0086",,"1583","4","Outros Recursos"
"PARTIDO HUMANISTA DA SOLIDARIEDADE","PHS",31,"07169547000164","Estadual","MG","NA","237","2638",,"313131","9","Outros Recursos"
"PROGRESSISTAS","PP",11,"01327965000156","Estadual","MG","NA","104","0935","3","05484","2","Outros Recursos"
"PROGRESSISTAS","PP",11,"01327965000156","Estadual","MG","NA","001","1229","7","700700","0","Fundo Partidário"
"PROGRESSISTAS","PP",11,"01327965000156","Estadual","MG","NA","001","1229","7","68933","5","Fundo Partidário"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"20764395000106","Estadual","MG","NA","104","2255",,"711","8","Outros Recursos"
"PARTIDO DA REPÚBLICA","PR",22,"08691904000112","Estadual","MG","NA","001","3858","X","30855","2","Fundo Partidário"
"PARTIDO DA REPÚBLICA","PR",22,"08691904000112","Estadual","MG","NA","001","3858","X","29585","X","Fundo Partidário"
"PARTIDO DA REPÚBLICA","PR",22,"08691904000112","Estadual","MG","NA","001","3858","X","29586","8","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"07965139000119","Estadual","MG","NA","001","3493","2","101244","4","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"07965139000119","Estadual","MG","NA","001","3493","2","1723","X","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"07965139000119","Estadual","MG","NA","001","3493","2","101247","9","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"07965139000119","Estadual","MG","NA","001","3493","2","101246","0","Outros Recursos"
"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","PRTB",28,"03875084000103","Estadual","MG","NA","104","4785",,"426","4","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"03940864000181","Estadual","MG","NA","001","1584","9","11672","6","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"03940864000181","Estadual","MG","NA","001","1584","9","26690","6","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"03940864000181","Estadual","MG","NA","001","1584","9","11673","4","Fundo Partidário"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"20970026000170","Estadual","MG","NA","001","1626","8","202020","3","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"14545907000140","Estadual","MG","NA","001","3061","9","60136","5","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"14545907000140","Estadual","MG","NA","001","3061","9","105102","4","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"24059610000129","Estadual","MG","NA","104","0935",,"869","7","Outros Recursos"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"24059610000129","Estadual","MG","NA","104","0935",,"6818","5","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"24059610000129","Estadual","MG","NA","104","0935",,"219","2","Fundo Partidário"
"PARTIDO SOCIAL LIBERAL","PSL",17,"05281237000101","Estadual","MG","NA","001","1629","2","53193","6","Fundo Partidário"
"PARTIDO SOCIAL LIBERAL","PSL",17,"05281237000101","Estadual","MG","NA","001","1629","2","53195","2","Outros Recursos"
"PARTIDO SOCIALISMO E LIBERDADE","PSOL",50,"27178691000174","Estadual","MG","NA","001","3857","1","33057","4","Fundo Partidário"
"PARTIDO SOCIALISMO E LIBERDADE","PSOL",50,"27178691000174","Estadual","MG","NA","001","3857","1","33014","0","Fundo Partidário"
"PARTIDO SOCIALISMO E LIBERDADE","PSOL",50,"27178691000174","Estadual","MG","NA","001","3857","1","32323","3","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"16847535000132","Estadual","MG","NA","001","1229","7","602958","2","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"16847535000132","Estadual","MG","NA","001","1229","7","45021","9","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"16847535000132","Estadual","MG","NA","001","1229","7","602998","1","Fundo Partidário"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"21531363000123","Estadual","MG","NA","104","0935",,"00004606","8","Fundo Partidário"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"21531363000123","Estadual","MG","NA","104","0935",,"00003727","1","Outros Recursos"
"PARTIDO TRABALHISTA CRISTÃO","PTC",36,"05725058000116","Estadual","MG","NA","104","2333","0","533","0","Fundo Partidário"
"PARTIDO TRABALHISTA CRISTÃO","PTC",36,"05725058000116","Estadual","MG","NA","104","2333","0","510020","9","Outros Recursos"
"PARTIDO TRABALHISTA CRISTÃO","PTC",36,"05725058000116","Estadual","MG","NA","104","1985","0","4739","0","Fundo Partidário"
"PARTIDO VERDE","PV",43,"25467358000150","Estadual","MG","NA","104","0093",,"3253","2","Fundo Partidário"
"PARTIDO VERDE","PV",43,"25467358000150","Estadual","MG","NA","104","0093",,"956","5","Fundo Partidário"
"PARTIDO VERDE","PV",43,"25467358000150","Estadual","MG","NA","104","0093",,"539","0","Outros Recursos"
"REDE SUSTENTABILIDADE","REDE",18,"24604476000108","Estadual","MG","NA","104","0935",,"6592","5","Fundo Partidário"
"SOLIDARIEDADE","SDD",77,"20323510000107","Estadual","MG","NA","001","1632","2","54239","3","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"20323510000107","Estadual","MG","NA","001","1632","2","53924","4","Fundo Partidário"
"AVANTE","AVANTE",70,"05940833000156","Municipal","MG","BELO HORIZONTE","104","1533",,"00001913","0","Fundo Partidário"
"AVANTE","AVANTE",70,"16436892000108","Municipal","MG","TEÓFILO OTONI","104","3662",,"00000572","2","Fundo Partidário"
"AVANTE","AVANTE",70,"15692326000102","Municipal","MG","CONTAGEM","104","1529","3","5147","4","Fundo Partidário"
"AVANTE","AVANTE",70,"15692326000102","Municipal","MG","CONTAGEM","104","1529",,"4265","3","Outros Recursos"
"DEMOCRATAS","DEM",25,"04006792000162","Municipal","MG","DOM BOSCO","001","1329","3","16673","1","Outros Recursos"
"DEMOCRATAS","DEM",25,"15782241000107","Municipal","MG","ERVÁLIA","001","2044","3","20710","1","Fundo Partidário"
"DEMOCRATAS","DEM",25,"15782241000107","Municipal","MG","ERVÁLIA","001","2044","3","19276","7","Outros Recursos"
"DEMOCRATAS","DEM",25,"09485710000123","Municipal","MG","TAPIRA","104","0097","7","2919","3","Outros Recursos"
"DEMOCRATAS","DEM",25,"09257810000100","Municipal","MG","PIRAPORA","001","0125","2","40143","9","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"09647704000125","Municipal","MG","SÃO JOAQUIM DE BICAS","104","352","7","991","0","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"21289335000141","Municipal","MG","ITUIUTABA","001","0204","6","10574","0","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"19918290000185","Municipal","MG","SÃO GERALDO","237","0694","7","4551","9","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"38512216000109","Municipal","MG","CONTAGEM","104","1529",,"0030004629","2","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"23095441000110","Municipal","MG","UBERLÂNDIA","104","3961",,"00300501472","5","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"04071591000149","Municipal","MG","BUENO BRANDÃO","104","0700","9","1609","8","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"08781905000158","Municipal","MG","AIMORÉS","104","0704",,"869","0","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"23370703000107","Municipal","MG","UBERABA","001","3351","0","15015","0","Outros Recursos"
"PARTIDO NOVO","NOVO",30,"25226969000106","Municipal","MG","BELO HORIZONTE","001","1526","1","25744","3","Outros Recursos"
"PARTIDO NOVO","NOVO",30,"25226969000106","Municipal","MG","BELO HORIZONTE","001","1526","1","25743","5","Fundo Partidário"
"PARTIDO NOVO","NOVO",30,"25226969000106","Municipal","MG","BELO HORIZONTE","001","1526","1","25742","7","Fundo Partidário"
"PATRIOTA","PATRI",51,"25319110000141","Municipal","MG","TIMÓTEO","104","1462","0","1757","4","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"03568845000176","Municipal","MG","OURO PRETO","237","0632",,"32581","3","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"22812658000130","Municipal","MG","ÁGUA BOA","001","0396","4","6153","0","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"38747176000184","Municipal","MG","ITABIRA","001","0767","6","67508","3","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"15802329000143","Municipal","MG","ERVÁLIA","001","2044","3","20682","2","Fundo Partidário"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"15802329000143","Municipal","MG","ERVÁLIA","001","2044","3","19280","5","Outros Recursos"
"PARTIDO DA MOBILIZAÇÃO NACIONAL","PMN",33,"03797064000153","Municipal","MG","CONTAGEM","104","1529",,"00301678","4","Outros Recursos"
"PARTIDO DA MOBILIZAÇÃO NACIONAL","PMN",33,"03886571000163","Municipal","MG","TIMÓTEO","104","1462","0","419","7","Outros Recursos"
"PROGRESSISTAS","PP",11,"01296039000160","Municipal","MG","UBERLÂNDIA","104","0162",,"5510","3","Outros Recursos"
"PROGRESSISTAS","PP",11,"01296039000160","Municipal","MG","UBERLÂNDIA","104","0162",,"5561","8","Fundo Partidário"
"PROGRESSISTAS","PP",11,"09282770000149","Municipal","MG","SENADOR CORTES","104","1488","5","1895","5","Outros Recursos"
"PROGRESSISTAS","PP",11,"09280460000195","Municipal","MG","BELO HORIZONTE","001","1629","2","50339","8","Outros Recursos"
"PROGRESSISTAS","PP",11,"06093430000181","Municipal","MG","ITABIRA","104","0119","8","00300000680","9","Outros Recursos"
"PROGRESSISTAS","PP",11,"07544204000132","Municipal","MG","PASSOS","104","0141","4","3672","4","Outros Recursos"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"03845117000164","Municipal","MG","ITABIRA","237","1685","3","0036450","9","Outros Recursos"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"03953876000140","Municipal","MG","BUENO BRANDÃO","104","0700","9","1802","3","Outros Recursos"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"03953876000140","Municipal","MG","BUENO BRANDÃO","104","0700","9","1583","0","Outros Recursos"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"03905871000142","Municipal","MG","BELO HORIZONTE","104","2255",,"3473","5","Fundo Partidário"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"03905871000142","Municipal","MG","BELO HORIZONTE","104","2255",,"48","2","Outros Recursos"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"03905871000142","Municipal","MG","BELO HORIZONTE","104","2255",,"3800","5","Fundo Partidário"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"03677922000126","Municipal","MG","SANTA MARIA DE ITABIRA","001","2584","4","17249","9","Outros Recursos"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"03926507000169","Municipal","MG","MONTES CLAROS","104","3044","0","2099","3","Outros Recursos"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"03905871000142","Municipal","MG","BELO HORIZONTE","104","2255",,"2121","5","Outros Recursos"
"PARTIDO DA REPÚBLICA","PR",22,"15491183000162","Municipal","MG","BUENO BRANDÃO","001","1670","5","15045","2","Outros Recursos"
"PARTIDO DA REPÚBLICA","PR",22,"15491183000162","Municipal","MG","BUENO BRANDÃO","104","0700","9","1560","1","Outros Recursos"
"PARTIDO DA REPÚBLICA","PR",22,"09500643000179","Municipal","MG","ITAJUBÁ","001","0308","5","30688","6","Outros Recursos"
"PARTIDO DA REPÚBLICA","PR",22,"08808499000170","Municipal","MG","ARCEBURGO","001","4033","9","8630","4","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08879446000140","Municipal","MG","BELO HORIZONTE","001","1629","2","51415","2","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"09321445000148","Municipal","MG","BETIM","104","0892",,"00004676","6","Outros Recursos"
"PARTIDO REPUBLICANO DA ORDEM SOCIAL","PROS",90,"23111458000113","Municipal","MG","ITABIRA","104","0119","8","00003300","8","Outros Recursos"
"PARTIDO REPUBLICANO DA ORDEM SOCIAL","PROS",90,"25211589000106","Municipal","MG","CONTAGEM","001","1629","2","53229","0","Fundo Partidário"
"PARTIDO REPUBLICANO DA ORDEM SOCIAL","PROS",90,"25211589000106","Municipal","MG","CONTAGEM","001","1629","2","53113","8","Fundo Partidário"
"PARTIDO REPUBLICANO DA ORDEM SOCIAL","PROS",90,"25211589000106","Municipal","MG","CONTAGEM","001","1629","2","53114","6","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"03857253000174","Municipal","MG","IPATINGA","001","1009","x","108833","5","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"03857253000174","Municipal","MG","IPATINGA","001","1009","x","108734","7","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"01780466000110","Municipal","MG","JUIZ DE FORA","001","24","8","121465","9","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"23373863000100","Municipal","MG","BELO HORIZONTE","001","1584","9","26652","3","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"23373863000100","Municipal","MG","BELO HORIZONTE","001","1584","9","26342","7","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"23373863000100","Municipal","MG","BELO HORIZONTE","104","0093",,"485","7","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"24830609000156","Municipal","MG","CONTAGEM","104","0893",,"7282","7","Fundo Partidário"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"06134564000101","Municipal","MG","PIRAPORA","001","0125","2","31244","4","Outros Recursos"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"06134564000101","Municipal","MG","PIRAPORA","001","1626","8","89584","9","Outros Recursos"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"01444499000199","Municipal","MG","BARBACENA","104","0099","0","399","3","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"04044914000105","Municipal","MG","BUENO BRANDÃO","104","0700","9","1804","0","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"04044914000105","Municipal","MG","BUENO BRANDÃO","104","0700","9","1607","1","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15631190000112","Municipal","MG","PIRAPORA","001","0125","2","40439","X","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"24795409000100","Municipal","MG","SÃO BENTO ABADE","001","0012","4","75353","x","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"24795409000100","Municipal","MG","SÃO BENTO ABADE","001","0012","4","75352","1","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"24418763000115","Municipal","MG","IGARATINGA","237","1089","8","6844","6","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15527836000116","Municipal","MG","UBERLÂNDIA","104","0162",,"5427","1","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15761116000110","Municipal","MG","CATUTI","001","1331","5","21622","4","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15002028000135","Municipal","MG","BONFINÓPOLIS DE MINAS","001","1329","3","16629","4","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15736229000166","Municipal","MG","ITAGUARA","104","4389",,"46","0","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15806226000151","Municipal","MG","ERVÁLIA","001","2044","3","20695","4","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15806226000151","Municipal","MG","ERVÁLIA","001","2044","3","19295","3","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"24592144000142","Municipal","MG","GUIRICEMA","001","3830","x","11725","0","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15295114000183","Municipal","MG","PASSOS","341","0120","1","11007","7","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"03685600000129","Municipal","MG","VEREDINHA","001","2745","6","24314","0","Outros Recursos"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"23772882000109","Municipal","MG","PARÁ DE MINAS","341","3043",,"38176","7","Outros Recursos"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"23772882000109","Municipal","MG","PARÁ DE MINAS","104","0137",,"1390","0","Outros Recursos"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"01375359000106","Municipal","MG","ASTOLFO DUTRA","001","2827","4","28567","6","Outros Recursos"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"01716159000170","Municipal","MG","POÇOS DE CALDAS","104","0145","0","03503499","3","Outros Recursos"
"PARTIDO SOCIAL LIBERAL","PSL",17,"14256362000152","Municipal","MG","JOAÍMA","001","2217","9","13078","8","Outros Recursos"
"PARTIDO SOCIALISMO E LIBERDADE","PSOL",50,"09643519000162","Municipal","MG","BELO HORIZONTE","001","1614","4","14055","4","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"23962830000103","Municipal","MG","CONSELHEIRO LAFAIETE","104","0127","9","700435","0","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"24497852000102","Municipal","MG","IGARATINGA","237","1089","8","6796","2","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"21081476000174","Municipal","MG","IPATINGA","001","1009","x","71036","9","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"21081476000174","Municipal","MG","IPATINGA","104","2332","03","00902189","8","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"01216789000185","Municipal","MG","BELO HORIZONTE","001","1614","4","15157","2","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"01216789000185","Municipal","MG","BELO HORIZONTE","104","2984",,"00001473","8","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"21194428000192","Municipal","MG","JUIZ DE FORA","001","024","8","8648","7","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"01457243000116","Municipal","MG","SÃO GERALDO","237","0694","7","7540","0","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"42774893000172","Municipal","MG","SABARÁ","104","1742","6","0030000795","3","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"06877069000184","Municipal","MG","GUIRICEMA","001","3830","x","11719","6","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"21194428000192","Municipal","MG","JUIZ DE FORA","001","3344",,"123546","0","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"26139345000114","Municipal","MG","ESPERA FELIZ","001","2046","X","6414","9","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"01376807000196","Municipal","MG","VISCONDE DO RIO BRANCO","104","0166","3","0545","0","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"04025911000124","Municipal","MG","DIVINO","001","2025","7","15789","9","Outros Recursos"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"06171302000109","Municipal","MG","RIO PIRACICABA","001","2546","1","19550","2","Outros Recursos"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"06115530000161","Municipal","MG","BELO HORIZONTE","104","0935",,"2526","5","Fundo Partidário"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"06136136000100","Municipal","MG","SENADOR CORTES","001","0174","0","21111","7","Outros Recursos"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"15580395000116","Municipal","MG","FERROS","001","2063","X","18018","1","Outros Recursos"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"15580395000116","Municipal","MG","FERROS","001","2063","X","17785","7","Outros Recursos"
"PARTIDO TRABALHISTA CRISTÃO","PTC",36,"06290760000167","Municipal","MG","BELO HORIZONTE","104","2333","0","425","2","Fundo Partidário"
"PARTIDO TRABALHISTA CRISTÃO","PTC",36,"06290760000167","Municipal","MG","BELO HORIZONTE","104","2333","0","64","8","Outros Recursos"
"PARTIDO VERDE","PV",43,"05993271000109","Municipal","MG","UBERLÂNDIA","104","0162",,"2716","9","Outros Recursos"
"PARTIDO VERDE","PV",43,"06200089000116","Municipal","MG","RESPLENDOR","001","0468","2","23159","2","Outros Recursos"
"PARTIDO VERDE","PV",43,"06224886000133","Municipal","MG","CARATINGA","237","1566","0","32338","1","Fundo Partidário"
"PARTIDO VERDE","PV",43,"06224886000133","Municipal","MG","CARATINGA","237","1566","0","32337","3","Outros Recursos"
"PARTIDO VERDE","PV",43,"03866402000161","Municipal","MG","BELO HORIZONTE","104","2333",,"1940","3","Outros Recursos"
"PARTIDO VERDE","PV",43,"09459869000173","Municipal","MG","RIO PIRACICABA","001","2546","1","19604","5","Outros Recursos"
"PARTIDO VERDE","PV",43,"06331724000102","Municipal","MG","CONTAGEM","104","2940",,"0033052","0","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"22329720000138","Municipal","MG","ITABIRA","104","0119","03","3381","4","Fundo Partidário"
"SOLIDARIEDADE","SDD",77,"22329720000138","Municipal","MG","ITABIRA","104","0119","03","3376","8","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"19880777000116","Municipal","MG","UBERLÂNDIA","104","0161",,"6676","2","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15579147000155","Estadual","MS","NA","001","5783","5","008446","8","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15579147000155","Estadual","MS","NA","001","5783","5","302500","4","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15579147000155","Estadual","MS","NA","001","5783","5","202554","X","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15579147000155","Estadual","MS","NA","001","5783","5","202555","8","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15579147000155","Estadual","MS","NA","001","5783","5","202556","6","Fundo Partidário"
"PARTIDO NOVO","NOVO",30,"27067285000134","Estadual","MS","NA","001","3496","7","45304","8","Fundo Partidário"
"PARTIDO NOVO","NOVO",30,"27067285000134","Estadual","MS","NA","001","3496","7","45303","X","Fundo Partidário"
"PARTIDO NOVO","NOVO",30,"27067285000134","Estadual","MS","NA","001","3496","7","45152","5","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"24605693000104","Estadual","MS","NA","001","5783","5","106139","9","Fundo Partidário"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"24605693000104","Estadual","MS","NA","001","5783","5","106138","0","Fundo Partidário"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"24605693000104","Estadual","MS","NA","001","5783","5","9728","4","Outros Recursos"
"PROGRESSISTAS","PP",11,"03280737000101","Estadual","MS","NA","001","4211","0","047836","9","Fundo Partidário"
"PROGRESSISTAS","PP",11,"03280737000101","Estadual","MS","NA","001","4211","0","001168","1","Fundo Partidário"
"PROGRESSISTAS","PP",11,"03280737000101","Estadual","MS","NA","104","1979",,"002782","1","Outros Recursos"
"PARTIDO DA REPÚBLICA","PR",22,"09002846000135","Estadual","MS","NA","001","48","5","131108","5","Outros Recursos"
"PARTIDO DA REPÚBLICA","PR",22,"09002846000135","Estadual","MS","NA","001","48","5","131107","7","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08607729000132","Estadual","MS","NA","104","3144",,"444","4","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08607729000132","Estadual","MS","NA","104","3144",,"443","6","Fundo Partidário"
"PARTIDO REPUBLICANO DA ORDEM SOCIAL","PROS",90,"20151673000150","Estadual","MS","NA","104","3862",,"828","1","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15000150000172","Estadual","MS","NA","001","1873","2","38417","8","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15000150000172","Estadual","MS","NA","001","1873","2","33102","3","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"00087436000160","Estadual","MS","NA","001","2959","9","93794","0","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"00087436000160","Estadual","MS","NA","001","2959","9","35373","6","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"00087436000160","Estadual","MS","NA","001","2959","9","31913","9","Outros Recursos"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"00087436000160","Estadual","MS","NA","001","5783","5","93794","0","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"00087436000160","Estadual","MS","NA","001","5783","5","35373","6","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"00087436000160","Estadual","MS","NA","001","5783","5","131913","2","Outros Recursos"
"PARTIDO VERDE","PV",43,"37225984000119","Estadual","MS","NA","104","3144","03","2617","0","Fundo Partidário"
"PARTIDO VERDE","PV",43,"37225984000119","Estadual","MS","NA","104","3144","03","2618","9","Outros Recursos"
"PARTIDO VERDE","PV",43,"37225984000119","Estadual","MS","NA","104","3144","03","2544","1","Fundo Partidário"
"PARTIDO VERDE","PV",43,"37225984000119","Estadual","MS","NA","104","3144","03","1063","0","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15811234000196","Municipal","MS","CHAPADÃO DO SUL","001","3066","X","25268","9","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"00671105000172","Municipal","MS","CAMPO GRANDE","001","5783","5","202554","X","Outros Recursos"
