"PARTIDO","SIGLA","NR_PARTIDO","CNPJ","ESFERA","UF","MUNICIPIO","NR_BANCO","NR_AGENCIA","DV_AGENCIA","NR_CONTA","DV_CONTA","FONTE_RECURSO"
"DEMOCRATAS","DEM",25,"05516984000181","Estadual","AM","NA","104","1457","9","03003876","0","Fundo Partidário"
"DEMOCRATAS","DEM",25,"05516984000181","Estadual","AM","NA","001","1862","7","7032","7","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"04160131000197","Estadual","AM","NA","001","3378","2","35334","5","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"04160131000197","Estadual","AM","NA","001","3378","2","163431","3","Fundo Partidário"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"71585822000120","Estadual","AM","NA","001","2905","X","84003","3","Fundo Partidário"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"71585822000120","Estadual","AM","NA","001","2905","X","80925","X","Fundo Partidário"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"71585822000120","Estadual","AM","NA","001","2905","X","34972","0","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"63656177000160","Estadual","AM","NA","001","1862","7","56250","5","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"63656177000160","Estadual","AM","NA","001","1862","7","51267","2","Fundo Partidário"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"63656177000160","Estadual","AM","NA","001","1862",,"56251","3","Fundo Partidário"
"PARTIDO HUMANISTA DA SOLIDARIEDADE","PHS",31,"02479718000138","Estadual","AM","NA","237","3734","6","37560","8","Fundo Partidário"
"PARTIDO HUMANISTA DA SOLIDARIEDADE","PHS",31,"02479718000138","Estadual","AM","NA","001","3378","2","17309","6","Outros Recursos"
"PODEMOS","PODE",19,"03885383000110","Estadual","AM","NA","237","3739","7","41555","3","Outros Recursos"
"PODEMOS","PODE",19,"03885383000110","Estadual","AM","NA","001","3378","2","32114","1","Outros Recursos"
"PROGRESSISTAS","PP",11,"06151879000159","Estadual","AM","NA","001","2905","x","53995","3","Outros Recursos"
"PROGRESSISTAS","PP",11,"06151879000159","Estadual","AM","NA","001","2905","x","46328","0","Fundo Partidário"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"34501031000148","Estadual","AM","NA","001","2905","x","11186","4","Outros Recursos"
"PARTIDO DA REPÚBLICA","PR",22,"34562603000107","Estadual","AM","NA","001","3378","2","36694","3","Fundo Partidário"
"PARTIDO DA REPÚBLICA","PR",22,"34562603000107","Estadual","AM","NA","001","3053","8","21937","1","Outros Recursos"
"PARTIDO DA REPÚBLICA","PR",22,"34562603000107","Estadual","AM","NA","001","3053","8","21935","5","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"14813848000144","Estadual","AM","NA","001","2905","X","69883","0","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"14813848000144","Estadual","AM","NA","001","2905","X","69882","2","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"14813848000144","Estadual","AM","NA","001","2905","X","78520","2","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"04153334000156","Estadual","AM","NA","001","1862","7","2617","4","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"04153334000156","Estadual","AM","NA","001","1862","7","5702","9","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"04153334000156","Estadual","AM","NA","001","1862","7","42667","9","Fundo Partidário"
"REDE SUSTENTABILIDADE","REDE",18,"24337972000134","Estadual","AM","NA","001","5787","8","3445","2","Fundo Partidário"
"REDE SUSTENTABILIDADE","REDE",18,"24337972000134","Estadual","AM","NA","001","5787","8","3517","3","Fundo Partidário"
"REDE SUSTENTABILIDADE","REDE",18,"24337972000134","Estadual","AM","NA","001","5787","8","3518","1","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"19586393000195","Estadual","AM","NA","104","1548",,"03001974","4","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"14257423000104","Municipal","AM","COARI","001","1776","0","28830","6","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"15450571000103","Municipal","AM","URUCARÁ","001","1862","7","54745","X","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"15727446000190","Municipal","AM","FONTE BOA","237","3137","1","4585","3","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"09655196000127","Municipal","AM","HUMAITÁ","001","0926","1","14478","9","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"06343365000103","Municipal","AM","BERURI","237","5023","7","2052","4","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"06165919000111","Municipal","AM","MAUÉS","001","0947","4","20837","X","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"23708541000174","Municipal","AM","MARAÃ","237","3743","5","18783","6","Fundo Partidário"
"DEMOCRACIA CRISTÃ","DC",27,"11517805000123","Estadual","AP","NA","001","0261","5","272727","7","Outros Recursos"
"DEMOCRATAS","DEM",25,"04361781000109","Estadual","AP","NA","001","4544","6","74969","9","Fundo Partidário"
"DEMOCRATAS","DEM",25,"04361781000109","Estadual","AP","NA","001","4544","6","25000","7","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01381911000179","Estadual","AP","NA","001","4544","6","43353","5","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01381911000179","Estadual","AP","NA","001","4544","6","9299","1","Fundo Partidário"
